[GIN] 2026/03/15 - 04:41:44 | 200 |     13.3055ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=638"
[GIN] 2026/03/15 - 04:41:48 | 200 |      3.2701ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:41:48 | 200 |     15.1904ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=639"
[GIN] 2026/03/15 - 04:42:00 | 200 |      2.8819ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:42:00 | 200 |      8.3264ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=639"
[GIN] 2026/03/15 - 04:42:12 | 200 |      2.1138ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:42:12 | 200 |      6.1375ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=639"
[GIN] 2026/03/15 - 04:42:24 | 200 |      1.9365ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:42:24 | 200 |     15.8275ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=639"
[GIN] 2026/03/15 - 04:42:36 | 200 |      4.9907ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:42:36 | 200 |      6.7999ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=639"
[GIN] 2026/03/15 - 04:42:44 | 200 |      1.0413ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:42:44 | 200 |      1.6213ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=638"
[GIN] 2026/03/15 - 04:42:48 | 200 |      5.2685ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:42:48 | 200 |      7.6415ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=639"
[GIN] 2026/03/15 - 04:43:00 | 200 |      1.9992ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:43:00 | 200 |      2.5502ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=639"
[GIN] 2026/03/15 - 04:43:12 | 200 |      1.6044ms |       127.0.0.1 | GET      "/rooms/864612"
