[GIN] 2026/03/15 - 03:02:39 | 200 |      3.0034ms |       127.0.0.1 | GET      "/rooms/620456/progress?player_id=630"
[GIN] 2026/03/15 - 03:02:39 | 200 |      1.3282ms |       127.0.0.1 | GET      "/ws/620456?player_id=630"
[GIN] 2026/03/15 - 03:02:51 | 200 |      1.9339ms |       127.0.0.1 | GET      "/rooms/620456"
[GIN] 2026/03/15 - 03:02:51 | 200 |     13.2347ms |       127.0.0.1 | GET      "/rooms/620456/progress?player_id=628"
[GIN] 2026/03/15 - 03:02:51 | 200 |      1.9129ms |       127.0.0.1 | GET      "/rooms/620456"
[GIN] 2026/03/15 - 03:02:51 | 200 |      15.141ms |       127.0.0.1 | GET      "/rooms/620456/progress?player_id=629"
[GIN] 2026/03/15 - 03:02:51 | 200 |      1.2573ms |       127.0.0.1 | GET      "/rooms/620456"
[GIN] 2026/03/15 - 03:02:51 | 200 |     15.5626ms |       127.0.0.1 | GET      "/rooms/620456/progress?player_id=631"
[GIN] 2026/03/15 - 03:02:51 | 200 |      1.7249ms |       127.0.0.1 | GET      "/rooms/620456"
[GIN] 2026/03/15 - 03:02:51 | 200 |     14.1116ms |       127.0.0.1 | GET      "/rooms/620456/progress?player_id=630"
[GIN] 2026/03/15 - 03:03:03 | 200 |       506.9µs |       127.0.0.1 | GET      "/rooms/620456"
[GIN] 2026/03/15 - 03:03:03 | 200 |      1.7789ms |       127.0.0.1 | GET      "/rooms/620456/progress?player_id=628"
[GIN] 2026/03/15 - 03:03:03 | 200 |      2.5058ms |       127.0.0.1 | GET      "/rooms/620456"
[GIN] 2026/03/15 - 03:03:03 | 200 |     15.9275ms |       127.0.0.1 | GET      "/rooms/620456/progress?player_id=629"
[GIN] 2026/03/15 - 03:03:03 | 200 |      1.3375ms |       127.0.0.1 | GET      "/rooms/620456"
[GIN] 2026/03/15 - 03:03:03 | 200 |      1.8674ms |       127.0.0.1 | GET      "/rooms/620456/progress?player_id=631"
[GIN] 2026/03/15 - 03:03:03 | 200 |      1.7651ms |       127.0.0.1 | GET      "/rooms/620456"
[GIN] 2026/03/15 - 03:03:03 | 200 |     15.1305ms |       127.0.0.1 | GET      "/rooms/620456/progress?player_id=630"
[GIN] 2026/03/15 - 03:03:15 | 200 |      1.4933ms |       127.0.0.1 | GET      "/rooms/620456"
[GIN] 2026/03/15 - 03:03:15 | 200 |      4.8647ms |       127.0.0.1 | GET      "/rooms/620456/progress?player_id=628"
[GIN] 2026/03/15 - 03:03:15 | 200 |      1.2162ms |       127.0.0.1 | GET      "/rooms/620456"
[GIN] 2026/03/15 - 03:03:15 | 200 |     17.3622ms |       127.0.0.1 | GET      "/rooms/620456/progress?player_id=630"
[GIN] 2026/03/15 - 03:03:15 | 200 |      1.5682ms |       127.0.0.1 | GET      "/rooms/620456"
[GIN] 2026/03/15 - 03:03:15 | 200 |     12.8117ms |       127.0.0.1 | GET      "/rooms/620456/progress?player_id=629"
[GIN] 2026/03/15 - 03:03:15 | 200 |      6.9927ms |       127.0.0.1 | GET      "/rooms/620456"
[GIN] 2026/03/15 - 03:03:15 | 200 |      8.4097ms |       127.0.0.1 | GET      "/rooms/620456/progress?player_id=631"
[GIN] 2026/03/15 - 03:03:27 | 200 |      3.3678ms |       127.0.0.1 | GET      "/rooms/620456"
[GIN] 2026/03/15 - 03:03:27 | 200 |       8.889ms |       127.0.0.1 | GET      "/rooms/620456/progress?player_id=628"
[GIN] 2026/03/15 - 03:03:27 | 200 |      1.4827ms |       127.0.0.1 | GET      "/rooms/620456"
[GIN] 2026/03/15 - 03:03:27 | 200 |     18.8452ms |       127.0.0.1 | GET      "/rooms/620456/progress?player_id=631"
[GIN] 2026/03/15 - 03:03:27 | 200 |       1.143ms |       127.0.0.1 | GET      "/rooms/620456"
[GIN] 2026/03/15 - 03:03:27 | 200 |      2.3991ms |       127.0.0.1 | GET      "/rooms/620456/progress?player_id=629"
[GIN] 2026/03/15 - 03:03:27 | 200 |      1.1083ms |       127.0.0.1 | GET      "/rooms/620456"
[GIN] 2026/03/15 - 03:03:27 | 200 |      1.8827ms |       127.0.0.1 | GET      "/rooms/620456/progress?player_id=630"
[GIN] 2026/03/15 - 03:03:45 | 200 |    1.3665138s |       127.0.0.1 | GET      "/rooms/620456/progress?player_id=630"
[GIN] 2026/03/15 - 03:03:53 | 200 |    714.2159ms |       127.0.0.1 | GET      "/rooms/620456/progress?player_id=630"
[GIN] 2026/03/15 - 03:04:02 | 200 |   17.5177703s |       127.0.0.1 | GET      "/rooms/620456"
[GIN] 2026/03/15 - 03:04:04 | 200 |    18.783293s |       127.0.0.1 | GET      "/rooms/620456/progress?player_id=629"
[GIN] 2026/03/15 - 03:04:04 | 200 |     2.641745s |       127.0.0.1 | GET      "/rooms/620456"
[GIN] 2026/03/15 - 03:04:04 | 200 |   18.7845398s |       127.0.0.1 | GET      "/rooms/620456/progress?player_id=628"
[GIN] 2026/03/15 - 03:04:04 | 200 |    18.783293s |       127.0.0.1 | GET      "/rooms/620456/progress?player_id=631"
[GIN] 2026/03/15 - 03:04:04 | 200 |    2.6427518s |       127.0.0.1 | GET      "/rooms/620456"
[GIN] 2026/03/15 - 03:04:57 | 204 |      2.0495ms |       127.0.0.1 | OPTIONS  "/rooms"
[GIN] 2026/03/15 - 03:04:57 | 200 |      8.9556ms |       127.0.0.1 | POST     "/rooms"
[GIN] 2026/03/15 - 03:04:57 | 200 |      2.2214ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:04:57 | 200 |      2.5927ms |       127.0.0.1 | GET      "/ws/833922?player_id=632"
[GIN] 2026/03/15 - 03:04:59 | 200 |       660.8µs |       127.0.0.1 | GET      "/rooms"
[GIN] 2026/03/15 - 03:04:59 | 200 |            0s |       127.0.0.1 | GET      "/ws/global"
[GIN] 2026/03/15 - 03:04:59 | 200 |       558.3µs |       127.0.0.1 | GET      "/rooms"
[GIN] 2026/03/15 - 03:04:59 | 204 |            0s |       127.0.0.1 | OPTIONS  "/rooms/join"
[GIN] 2026/03/15 - 03:04:59 | 200 |      5.8033ms |       127.0.0.1 | POST     "/rooms/join"
[GIN] 2026/03/15 - 03:05:00 | 200 |      2.3431ms |       127.0.0.1 | GET      "/rooms/833922"
