[GIN] 2026/03/14 - 02:36:37 | 204 |            0s |       127.0.0.1 | OPTIONS  "/rounds/39/submit"
[GIN] 2026/03/14 - 02:36:37 | 200 |     10.4299ms |       127.0.0.1 | POST     "/rounds/39/submit"
[GIN] 2026/03/14 - 02:36:37 | 200 |      1.5809ms |       127.0.0.1 | GET      "/rooms/997020"
[GIN] 2026/03/14 - 02:36:37 | 200 |      2.9153ms |       127.0.0.1 | GET      "/rooms/997020"
[GIN] 2026/03/14 - 02:36:40 | 200 |     13.0285ms |       127.0.0.1 | POST     "/rooms/997020/round/start?player_id=504"
[GIN] 2026/03/14 - 02:36:43 | 204 |            0s |       127.0.0.1 | OPTIONS  "/rounds/40/submit"
[GIN] 2026/03/14 - 02:36:43 | 200 |      9.6122ms |       127.0.0.1 | POST     "/rounds/40/submit"
[GIN] 2026/03/14 - 02:36:43 | 200 |      1.3977ms |       127.0.0.1 | GET      "/rooms/997020"
[GIN] 2026/03/14 - 02:36:43 | 200 |      3.4079ms |       127.0.0.1 | GET      "/rooms/997020"
[GIN] 2026/03/14 - 02:36:46 | 200 |      4.6764ms |       127.0.0.1 | POST     "/rooms/997020/round/start?player_id=504"
[GIN] 2026/03/14 - 02:36:49 | 204 |            0s |       127.0.0.1 | OPTIONS  "/rounds/41/submit"
[GIN] 2026/03/14 - 02:36:49 | 200 |      21.992ms |       127.0.0.1 | POST     "/rounds/41/submit"
[GIN] 2026/03/14 - 02:36:49 | 200 |      1.5037ms |       127.0.0.1 | GET      "/rooms/997020"
[GIN] 2026/03/14 - 02:36:49 | 200 |      2.2064ms |       127.0.0.1 | GET      "/rooms/997020/summary"
[GIN] 2026/03/14 - 02:36:49 | 200 |       523.5µs |       127.0.0.1 | GET      "/rooms/997020"
[GIN] 2026/03/14 - 02:36:49 | 200 |      1.7533ms |       127.0.0.1 | GET      "/rooms/997020/summary"
[GIN] 2026/03/14 - 02:36:49 | 200 |      1.6103ms |       127.0.0.1 | GET      "/rooms/997020"
[GIN] 2026/03/14 - 02:36:55 | 404 |      2.6755ms |       127.0.0.1 | GET      "/rooms/997020/summary"
[GIN] 2026/03/14 - 02:36:55 | 404 |      2.2424ms |       127.0.0.1 | GET      "/rooms/997020"
